cod_mun	dpto	peso
5001	5	3052.976296
5002	5	3011.922509
5004	5	3061.904762
5021	5	3128.863636
5030	5	3029.870056
5031	5	3213.910891
5034	5	3228.594276
5036	5	3074.753425
5038	5	3155.05
5040	5	3205.597122
5042	5	3160.972727
5044	5	3057.409836
5045	5	3166.46677
5051	5	3272.492891
5055	5	3214.321429
5059	5	3156.133333
5079	5	3104.454707
5086	5	3089.228571
5088	5	3083.623739
5091	5	3243.694805
5093	5	3111.961404
5101	5	3184.94246
5107	5	3135.7125
5113	5	4137.149123
5120	5	3265.623688
5125	5	3313.083333
5129	5	3017.698238
5134	5	3247.609375
5138	5	3198.186813
5142	5	3293.144737
5145	5	2997.676471
5147	5	3174.832765
5148	5	3119.314879
5150	5	3073.3
5154	5	3283.678134
5172	5	3212.392681
5190	5	3206.615385
5197	5	3170.336538
5206	5	3010.9375
5209	5	3161.117857
5212	5	3106.178063
5234	5	3104.200787
5237	5	2965.712803
5240	5	3148.525926
5250	5	3236.763721
5264	5	2965.798246
5266	5	3060.745137
5282	5	3186.093117
5284	5	3549.817073
5306	5	3357.310811
5308	5	3088.933747
5310	5	3084.921875
5313	5	3069.177083
5315	5	3325.243902
5318	5	3034.126984
5321	5	3091.983333
5347	5	3132.12963
5353	5	3179.229167
5360	5	3080.836905
5361	5	3108.002604
5364	5	3109.452229
5368	5	3089.453846
5376	5	3070.447025
5380	5	3034.91623
5390	5	3161.301075
5400	5	3087.516892
5411	5	3218.272
5425	5	3255.610169
5440	5	3051.937879
5467	5	3229.353846
5475	5	2981.377778
5480	5	3194.068884
5483	5	3094.966887
5490	5	3230.35503
5495	5	3208.142857
5501	5	3102.9
5541	5	3069.585903
5543	5	3089.489796
5576	5	3095.657143
5579	5	3282.539267
5585	5	3235.780105
5591	5	3342.624573
5604	5	3358.747945
5607	5	3099.14359
5615	5	3073.305866
5628	5	3259.309091
5631	5	3053.293478
5642	5	3111.274809
5647	5	3164.958333
5649	5	3192.92
5652	5	3351.076271
5656	5	3146
5658	5	3100.28125
5659	5	3149.6
5660	5	3489.831776
5664	5	3031.790974
5665	5	3841.624826
5667	5	3083.679144
5670	5	3209.152416
5674	5	3261.299242
5679	5	3111.344262
5686	5	2924.735245
5690	5	3163.382166
5697	5	3172.466119
5736	5	3238.455814
5756	5	3195.688588
5761	5	3339.297872
5789	5	3133.428571
5790	5	3260.751734
5792	5	3153.735294
5809	5	3118.168067
5819	5	3374.3875
5837	5	3163.091719
5842	5	3186.091743
5847	5	3067.302895
5854	5	3086.612805
5856	5	3094.769231
5858	5	3281.406091
5861	5	2990.644295
5873	5	3076.064516
5885	5	3116.090909
5887	5	3024.155093
5890	5	3165.336957
5893	5	3280.154762
5895	5	3311.122203
08001	08	3128.272805
08078	08	3217.193583
08137	08	3136.422481
08141	08	3042.846154
08296	08	3130.067019
08372	08	3092.026087
08421	08	3138.246154
08433	08	3149.107463
08436	08	3109.778481
08520	08	3140.672515
08549	08	3052
08558	08	3058.734513
08560	08	3105.979381
08573	08	3129.04186
08606	08	3333.076471
08634	08	3158.769585
08638	08	3130.789003
08675	08	3200.38835
08685	08	3162.974638
08758	08	3121.177798
08770	08	3138.802083
08832	08	3152.680982
08849	08	3125.036765
11001	11	2971.772114
13001	13	3182.764571
13006	13	3213.552381
13030	13	3319.915663
13042	13	3122.59589
13052	13	3189.155266
13062	13	3162.666667
13074	13	3473.704724
13140	13	3437.931624
13160	13	3373.890511
13188	13	3251.057803
13212	13	3300.983333
13222	13	3168.677778
13244	13	3174.48755
13248	13	3123.737374
13268	13	3425.350746
13300	13	3253.589041
13430	13	3185.85557
13433	13	3111.974212
13440	13	3124.041667
13442	13	3198.451957
13458	13	3279.672897
13468	13	3156.802183
13473	13	3408.461165
13490	13	3600
13549	13	3336.58547
13580	13	3385.967742
13600	13	3171.92053
13620	13	3182.5
13647	13	3230.653333
13650	13	3396.276923
13654	13	3202.521519
13655	13	3478.834951
13657	13	3347.799591
13667	13	3350.410569
13670	13	3335.090435
13673	13	3166.652778
13683	13	3123.751412
13688	13	3364.340979
13744	13	3422.576923
13760	13	3276.300971
13780	13	3252.415929
13810	13	3227.532847
13836	13	3227.734201
13838	13	3250.391089
13873	13	3125.073232
13894	13	3173.682796
15001	15	3042.99931
15022	15	3095.625
15047	15	2994.272414
15051	15	2895.625
15087	15	3081.788618
15090	15	3477.541667
15092	15	3046.818182
15097	15	3127.914286
15104	15	3103.294118
15106	15	3142.058824
15109	15	3004.779412
15114	15	3276
15131	15	3052.894737
15135	15	3374.473684
15162	15	3103.73913
15172	15	3052.69697
15176	15	3043.863718
15180	15	3094.883721
15183	15	3034.007194
15185	15	3169.541284
15187	15	3052.342105
15189	15	3065.150685
15204	15	3007.1875
15212	15	3142.820513
15215	15	3122.717391
15218	15	3160.540541
15223	15	4788.141304
15224	15	2951.666667
15226	15	2964.684211
15232	15	2944.266667
15236	15	3098.382353
15238	15	3073.334282
15244	15	2957.9375
15248	15	3287.285714
15272	15	3021.898734
15276	15	3051.675676
15293	15	2931.6
15296	15	3077.43617
15299	15	3114.471503
15317	15	3064
15322	15	3218.049587
15325	15	3207
15332	15	3012.172414
15362	15	3078.125
15367	15	3163.019802
15368	15	3003.561644
15377	15	3179.814815
15380	15	3025.578947
15401	15	3283.5625
15403	15	2984.354839
15407	15	3001.897849
15425	15	3063.255814
15442	15	3098.023256
15455	15	3222.040323
15464	15	3199.868132
15466	15	3135.857143
15469	15	3127.569231
15476	15	3016.571429
15480	15	3242.582781
15491	15	3038.167488
15494	15	3264.53125
15500	15	2917
15507	15	3293.283582
15511	15	3295
15514	15	3369.5
15516	15	3125.407489
15518	15	3115.882353
15522	15	2866.666667
15531	15	3239.6
15533	15	3638.368421
15537	15	3119.955882
15542	15	3241.850746
15550	15	5083.923077
15572	15	3216.067779
15580	15	2942.962963
15599	15	3222.169231
15600	15	3093.1
15621	15	3268.5
15632	15	2956.546053
15638	15	3347.125
15646	15	3070.784615
15660	15	3260.133333
15664	15	3084.285714
15667	15	3277.253521
15673	15	3165.4
15676	15	2965.306122
15681	15	3655.538462
15686	15	3061.661017
15690	15	3208.116279
15693	15	3009.804196
15696	15	3177.105263
15720	15	3073.757576
15723	15	3305.111111
15740	15	3015.230769
15753	15	3070.15873
15755	15	2925.075949
15757	15	3048.831169
15759	15	3101.77012
15761	15	3115.148148
15762	15	3021.25
15763	15	3141.491228
15764	15	3038.228571
15774	15	2943.269231
15776	15	3061.226415
15778	15	3199.722222
15790	15	3130.672727
15798	15	3159.568627
15804	15	3209.23913
15806	15	3094.688742
15808	15	2975.833333
15810	15	3015.932203
15814	15	3070.08427
15816	15	3013.57377
15820	15	3025.77193
15822	15	3021.211111
15832	15	3044.230769
15835	15	3200.659794
15837	15	3075.508333
15839	15	2928.333333
15842	15	3169.509615
15861	15	3044.313305
15879	15	3224.069767
15897	15	3321.140845
17001	17	3155.075699
17013	17	3077.767528
17042	17	3148.657895
17050	17	3279.48951
17088	17	3253.363636
17174	17	3522.829706
17272	17	3537.633929
17380	17	3252.960814
17388	17	3174.557377
17433	17	3199.887097
17442	17	3177.343511
17444	17	3226.602151
17446	17	3033.953488
17486	17	3185.456667
17495	17	3287.359223
17513	17	2988.709459
17524	17	3181.454545
17541	17	3205.026316
17614	17	3176.054329
17616	17	3129.69403
17653	17	3046.245536
17662	17	3272.256705
17665	17	3201.557143
17777	17	3234.805921
17867	17	3301.642202
17873	17	3183.924152
17877	17	3241.176471
18001	18	3274.978383
18029	18	3438.016393
18094	18	3293.865854
18150	18	3359.540541
18205	18	3298.644144
18247	18	3248.038462
18256	18	3203.449612
18410	18	3408.330097
18460	18	3275.591837
18479	18	3370.30303
18592	18	3232.257261
18610	18	3326.712644
18753	18	3348.118534
18756	18	3250.606061
18785	18	3308.051948
18860	18	3309.431507
19001	19	3150.22202
19022	19	2783.547619
19050	19	3174.530769
19075	19	3119.99
19100	19	3075.349076
19110	19	3190.678679
19130	19	3233.813051
19137	19	3231.295775
19142	19	3385.866279
19212	19	3252.117794
19256	19	3237.433702
19290	19	3196.177778
19300	19	3172.295964
19318	19	3173.297101
19355	19	3139.343915
19364	19	3217.61165
19392	19	3272.358779
19397	19	3025.385475
19418	19	3098.236842
19450	19	3176.130435
19455	19	3261.746803
19473	19	3258.121673
19513	19	3172.514493
19517	19	3510.254167
19532	19	3210.65445
19533	19	3448.517647
19548	19	3162.304432
19573	19	3022.045882
19585	19	3195.382199
19622	19	3268.333333
19693	19	2997.310924
19698	19	3202.692585
19701	19	3183.243243
19743	19	3055.449468
19760	19	3268.416667
19780	19	3251.814655
19785	19	3178.313253
19807	19	3139.603037
19809	19	3162.66
19821	19	3173.644118
19824	19	3265.646865
19845	19	3092.804979
20001	20	3194.723064
20011	20	3438.284275
20013	20	3343.648294
20032	20	3192.675325
20045	20	3204.814103
20060	20	3146.16
20175	20	3274.954545
20178	20	3351.748006
20228	20	3229.683007
20238	20	3131.618861
20250	20	3099.457143
20295	20	3304.957576
20310	20	3224.42623
20383	20	3315.739726
20400	20	3178.654036
20443	20	2979.192308
20517	20	3251.716253
20550	20	3244.769759
20570	20	3179.267327
20614	20	3399.721925
20621	20	3189.490148
20710	20	3197.218391
20750	20	3128.969274
20770	20	4262.466667
20787	20	3113.710084
23001	23	3122.231391
23068	23	3169.582242
23079	23	3122.486264
23090	23	3182.749077
23162	23	3177.383382
23168	23	3227.907514
23182	23	3165.150068
23189	23	3147.871612
23300	23	3211.050505
23350	23	3177.023166
23417	23	3180.701167
23419	23	3187.226601
23464	23	3242.350962
23466	23	3255.878947
23500	23	3221.738028
23555	23	3156.433992
23570	23	3134.751861
23574	23	3098.572785
23580	23	3292.271845
23586	23	3191.643243
23660	23	3135.443008
23670	23	3097.781609
23672	23	3256.178423
23675	23	3214.894309
23678	23	3102.614286
23682	23	2746.428571
23686	23	3136.321229
23807	23	3171.695828
23815	23	2874
23855	23	3134.974122
25001	25	3254.579268
25019	25	3055.873016
25035	25	3233.791946
25040	25	3087.093567
25053	25	3057.630872
25086	25	3328.823529
25095	25	3445
25099	25	2945.934959
25120	25	3160.804598
25123	25	3213.364407
25126	25	2933.816514
25148	25	3263.621429
25151	25	3059.36
25154	25	2915.044248
25168	25	3190.277778
25175	25	3000.49053
25178	25	3018.981481
25181	25	2993.522581
25183	25	2941.353075
25200	25	3053.557621
25214	25	3027.721649
25224	25	3107.922481
25245	25	3231.062222
25258	25	3156.276596
25260	25	3005.721154
25269	25	3005.50046
25279	25	3240.029851
25281	25	3075.138889
25286	25	3048.675726
