"","Estacion","X","Y","altitud","CO","NO","NO2","PM10","PM25","SO2","O3","NOX","PMCO"
"2","AJU",482901.027,2117906.961,2942,NA,NA,NA,NA,8,NA,50,NA,NA
"3","AJM",478187.945,2130946.321,2548,0,3,5,NA,NA,1,51,8,NA
"4","ATI",473345.998,2164688.947,2341,NA,0,20,60,NA,5,70,20,NA
"5","CAM",482179.778,2152665.441,2233,0.4,1,23,NA,NA,5,83,24,NA
"6","CCA",481501.887,2136930.809,2294,0.1,2,6,NA,6,1,46,8,NA
"9","CUA",469365.597,2141275.189,2704,0.1,1,9,58,NA,NA,56,10,NA
"10","CUT",479188.957,2180751.06,2263,NA,1,13,65,NA,4,75,14,NA
"11","FAC",474443.841,2154231.539,2299,0.5,4,31,63,NA,6,71,35,NA
"12","HGM",484020.017,2146380.037,2234,0.3,5,25,63,28,NA,81,31,35
"13","IZT",487647.001,2143366.999,2238,0.5,2,21,46,NA,3,61,23,NA
"14","LLA",495842.111,2164872.01,2230,0.2,1,14,NA,NA,4,81,15,NA
"15","LPR",487650.09,2159999.778,2302,0.4,NA,NA,NA,NA,4,64,NA,NA
"16","MER",487445.009,2147815.053,2245,0.2,3,23,62,23,5,79,26,39
"17","MGH",478715.727,2145542.651,2327,0.4,NA,NA,NA,NA,4,66,NA,NA
"18","MON",510196.265,2151775.51,2252,0.2,1,9,NA,NA,3,80,10,NA
"19","MPA",498809.481,2123036.072,2594,0,NA,1,NA,NA,1,50,NA,NA
"20","NEZ",497037.744,2144394.424,2235,0.1,1,8,NA,15,2,62,9,NA
"21","PED",478556.748,2136817.415,2326,0.1,0,6,26,8,2,56,6,18
"22","SAG",496818.701,2159801.177,2241,0.4,0,16,108,66,NA,80,16,41
"23","SFE",472393.007,2140389.973,2599,0.2,1,9,30,10,2,66,10,21
"25","TAH",498889.787,2128097.994,2297,0,1,3,74,NA,1,47,3,NA
"26","TLA",478535.124,2159383.151,2311,0.4,4,26,71,30,6,64,30,41
"27","TLI",481420.683,2167509.22,2313,0.2,1,18,NA,NA,4,86,20,NA
"28","UAX",489113.043,2134516.988,2246,0,NA,NA,NA,7,1,54,NA,NA
"29","UIZ",492241.049,2140750.952,2221,0,1,7,49,10,2,45,7,39
"30","VIF",489874.55,2173663.859,2242,0.6,4,19,67,NA,4,80,22,NA
"31","XAL",491355.021,2159031.381,2160,0.3,1,27,83,33,5,80,27,51
