X	Y	Magnitud
465012,560000	688178,390000	2,500000
495096,640000	662589,890000	1,900000
520705,100000	628160,950000	3,400000
520712,380000	632596,510000	1,700000
550893,200000	662477,590000	2,400000
555627,360000	772206,550000	1,900000
556477,170000	665792,420000	1,800000
571977,320000	583752,390000	4,100000
572147,720000	693469,560000	1,700000
578857,440000	702320,840000	1,800000
582101,400000	649122,820000	1,600000
584328,340000	646902,980000	2,500000
586558,800000	646899,430000	2,900000
588613,930000	1294053,910000	3,300000
588996,980000	746621,790000	1,900000
589911,470000	651326,350000	2,500000
592127,900000	642458,550000	1,700000
595648,850000	732200,690000	2,300000
596219,140000	1276261,220000	1,800000
596531,690000	598132,850000	3,100000
601016,990000	619178,710000	3,900000
607061,550000	827451,620000	3,300000
608988,880000	716659,210000	2,500000
612406,840000	748778,530000	1,500000
612460,820000	769827,010000	1,900000
613157,080000	1319342,840000	2,400000
616587,490000	579280,220000	2,600000
617240,950000	1274992,190000	3,200000
620168,210000	732143,540000	2,500000
623331,580000	630228,360000	2,800000
624567,430000	704441,460000	1,300000
625772,990000	746530,810000	2,000000
627006,560000	793050,120000	2,200000
634343,100000	1342442,630000	2,500000
634454,360000	608062,690000	1,500000
634471,740000	623568,740000	2,400000
634919,000000	832901,960000	2,000000
636684,040000	608060,360000	1,400000
636793,950000	686696,720000	1,300000
636815,940000	698879,860000	2,100000
638579,720000	1318039,450000	2,200000
640143,180000	690013,470000	1,400000
640226,840000	1046648,560000	3,600000
640495,940000	1277039,680000	3,600000
641428,780000	770860,220000	1,600000
641944,770000	1158509,340000	1,600000
643083,750000	1329083,280000	2,500000
643114,190000	946953,270000	2,300000
644114,450000	918153,260000	1,900000
644659,090000	721015,140000	2,100000
644903,530000	820689,070000	2,500000
647818,110000	1212746,890000	2,100000
648902,740000	550461,330000	2,600000
650217,010000	714359,430000	1,900000
650609,750000	1121909,610000	2,700000
651772,670000	881578,790000	3,000000
652973,530000	907045,930000	2,000000
653506,360000	684453,340000	2,200000
653789,120000	812911,790000	2,200000
653994,490000	880463,920000	2,800000
654999,930000	1294661,120000	1,800000
655053,260000	1122992,990000	2,300000
655241,320000	1328994,480000	2,000000
655283,200000	930293,670000	2,200000
657020,510000	1074253,770000	2,300000
659173,730000	1256976,690000	2,000000
660730,030000	898159,590000	2,100000
661175,420000	568172,230000	1,200000
662073,930000	961274,870000	1,800000
662696,820000	1287963,730000	2,100000
663758,830000	1281311,730000	2,800000
663997,840000	1316749,890000	2,200000
667306,370000	1315619,730000	1,900000
668913,460000	1003326,350000	3,300000
669275,180000	1279060,770000	2,900000
670745,820000	899233,190000	2,100000
671910,510000	914731,100000	2,800000
673421,210000	537162,830000	2,100000
673442,240000	577022,150000	2,400000
673445,360000	581450,970000	2,600000
673453,880000	592523,010000	2,900000
674082,970000	899222,160000	2,700000
674595,070000	621309,180000	1,700000
674647,590000	664489,870000	2,100000
675163,080000	889253,480000	2,300000
675269,870000	921363,070000	2,100000
675996,940000	1292306,220000	2,100000
676907,380000	1261294,210000	1,600000
676910,300000	687737,560000	1,500000
677687,650000	974501,750000	2,600000
678272,760000	1302257,840000	2,700000
678521,640000	895886,040000	2,100000
679226,390000	1075254,610000	2,400000
679651,870000	901418,400000	3,100000
681880,020000	902518,370000	2,100000
682912,670000	1148315,290000	2,400000
683817,810000	800654,210000	1,900000
684111,660000	904725,490000	1,900000
684151,580000	916904,150000	2,500000
684208,600000	1183740,540000	2,400000
684931,060000	800651,520000	2,200000
685150,550000	1339862,320000	4,000000
685267,320000	918007,600000	1,800000
685757,850000	639011,350000	1,700000
686036,380000	797327,500000	1,900000
688916,440000	1233540,330000	2,000000
689131,000000	1270078,120000	2,600000
689136,350000	667791,410000	2,100000
689314,180000	1299972,960000	1,800000
689408,010000	810604,660000	1,800000
690753,680000	894740,340000	2,000000
691363,050000	666681,350000	2,400000
691854,550000	1162663,060000	2,100000
691886,540000	901379,410000	2,200000
691923,390000	1175948,890000	2,200000
692403,630000	1262308,000000	2,000000
694655,270000	623502,960000	2,000000
694727,640000	1281116,830000	1,900000
694924,550000	789557,390000	2,000000
695189,300000	890298,500000	1,800000
695254,240000	911332,540000	3,200000
697450,770000	902469,220000	2,400000
699193,680000	689917,850000	1,400000
