X	Y	Magnitud	Marcas
465012,56	688178,39	2,5	A
495096,64	662589,89	1,9	A
520705,1	628160,95	3,4	A
520712,38	632596,51	1,7	A
550893,2	662477,59	2,4	A
555627,36	772206,55	1,9	A
556477,17	665792,42	1,8	A
571977,32	583752,39	4,1	B
572147,72	693469,56	1,7	A
578857,44	702320,84	1,8	A
582101,4	649122,82	1,6	A
584328,34	646902,98	2,5	A
586558,8	646899,43	2,9	A
588613,93	1294053,91	3,3	A
588996,98	746621,79	1,9	A
589911,47	651326,35	2,5	A
592127,9	642458,55	1,7	A
595648,85	732200,69	2,3	A
596219,14	1276261,22	1,8	A
596531,69	598132,85	3,1	A
601016,99	619178,71	3,9	B
607061,55	827451,62	3,3	A
608988,88	716659,21	2,5	A
612406,84	748778,53	1,5	A
612460,82	769827,01	1,9	A
613157,08	1319342,84	2,4	A
616587,49	579280,22	2,6	A
617240,95	1274992,19	3,2	A
620168,21	732143,54	2,5	A
623331,58	630228,36	2,8	A
624567,43	704441,46	1,3	A
625772,99	746530,81	2	A
627006,56	793050,12	2,2	A
634343,1	1342442,63	2,5	A
634454,36	608062,69	1,5	A
634471,74	623568,74	2,4	A
634919	832901,96	2	A
636684,04	608060,36	1,4	A
636793,95	686696,72	1,3	A
636815,94	698879,86	2,1	A
638579,72	1318039,45	2,2	A
640143,18	690013,47	1,4	A
640226,84	1046648,56	3,6	B
640495,94	1277039,68	3,6	B
641428,78	770860,22	1,6	A
641944,77	1158509,34	1,6	A
643083,75	1329083,28	2,5	A
643114,19	946953,27	2,3	A
644114,45	918153,26	1,9	A
644659,09	721015,14	2,1	A
644903,53	820689,07	2,5	A
647818,11	1212746,89	2,1	A
648902,74	550461,33	2,6	A
650217,01	714359,43	1,9	A
650609,75	1121909,61	2,7	A
651772,67	881578,79	3	A
652973,53	907045,93	2	A
653506,36	684453,34	2,2	A
653789,12	812911,79	2,2	A
653994,49	880463,92	2,8	A
654999,93	1294661,12	1,8	A
655053,26	1122992,99	2,3	A
655241,32	1328994,48	2	A
655283,2	930293,67	2,2	A
657020,51	1074253,77	2,3	A
659173,73	1256976,69	2	A
660730,03	898159,59	2,1	A
661175,42	568172,23	1,2	A
662073,93	961274,87	1,8	A
662696,82	1287963,73	2,1	A
663758,83	1281311,73	2,8	A
663997,84	1316749,89	2,2	A
667306,37	1315619,73	1,9	A
668913,46	1003326,35	3,3	A
669275,18	1279060,77	2,9	A
670745,82	899233,19	2,1	A
671910,51	914731,1	2,8	A
673421,21	537162,83	2,1	A
673442,24	577022,15	2,4	A
673445,36	581450,97	2,6	A
673453,88	592523,01	2,9	A
674082,97	899222,16	2,7	A
674595,07	621309,18	1,7	A
674647,59	664489,87	2,1	A
675163,08	889253,48	2,3	A
675269,87	921363,07	2,1	A
675996,94	1292306,22	2,1	A
676907,38	1261294,21	1,6	A
676910,3	687737,56	1,5	A
677687,65	974501,75	2,6	A
678272,76	1302257,84	2,7	A
678521,64	895886,04	2,1	A
679226,39	1075254,61	2,4	A
679651,87	901418,4	3,1	A
681880,02	902518,37	2,1	A
682912,67	1148315,29	2,4	A
683817,81	800654,21	1,9	A
684111,66	904725,49	1,9	A
684151,58	916904,15	2,5	A
684208,6	1183740,54	2,4	A
684931,06	800651,52	2,2	A
685150,55	1339862,32	4	B
685267,32	918007,6	1,8	A
685757,85	639011,35	1,7	A
686036,38	797327,5	1,9	A
688916,44	1233540,33	2	A
689131	1270078,12	2,6	A
689136,35	667791,41	2,1	A
689314,18	1299972,96	1,8	A
689408,01	810604,66	1,8	A
690753,68	894740,34	2	A
691363,05	666681,35	2,4	A
691854,55	1162663,06	2,1	A
691886,54	901379,41	2,2	A
691923,39	1175948,89	2,2	A
692403,63	1262308	2	A
694655,27	623502,96	2	A
694727,64	1281116,83	1,9	A
694924,55	789557,39	2	A
695189,3	890298,5	1,8	A
695254,24	911332,54	3,2	A
697450,77	902469,22	2,4	A
699193,68	689917,85	1,4	A
699780,54	935673,05	2,1	A
700088,88	1020914,59	2,6	A
700093,24	1022021,63	1,6	A
700382,36	1302119,44	3	A
700692,29	1351940,75	3,1	A
701725,45	840463,92	2,7	A
702074,51	956698,89	1,8	A
704412,82	1233453,72	2,4	A
704616,66	1269987,33	2,5	A
704659,28	1053000,53	2,8	A
704843,51	1096174,28	2,6	A
705908,85	710939,91	2,3	A
707332	857053,92	1,9	A
707547,03	1198010,42	2,9	A
707775,2	1241185,08	2,5	A
707793,31	1244506,23	2	A
708346,48	1134904,75	2,1	A
708447,46	858157,92	1,3	A
708881,83	1241179,07	1,9	A
708997,43	1262212,9	2,3	A
709047,05	1271069,3	2,1	A
710455,07	762957,41	1,7	A
710909	1205742,56	1,6	A
711765,55	1154815,09	2,5	A
711927,32	909067,33	2,8	A
712207,61	1242268,19	2,7	A
712219,51	1244482,22	2,7	A
712291,63	1257766,44	2,1	A
712309,85	1261087,5	2,8	A
712322,05	1263301,54	3	A
713124,04	936736,91	2,3	A
713274,85	982120,73	1,2	A
714208,57	1201297,69	2,7	A
714362,23	1231186,4	1,6	A
714391,38	1236721,38	2,9	A
714538,08	1024179,95	4,7	B
715405,9	1219003,78	2,9	A
716698,71	1254421,43	2,6	A
716710,61	1256635,41	3,3	A
717327,64	850386,66	2,4	A
717480,45	906837,18	2,6	A
717705,59	1235596,96	1,4	A
717856,95	1020846,77	1,9	A
717949,12	1045198,67	1,6	A
718734,37	953322,65	2	A
718959,24	1018628,89	1,9	A
719104,33	1289832,77	2	A
719217,76	671073,16	2,6	A
720029,31	1256617,64	1,7	A
720082,67	1266580,3	1,9	A
722155,22	979876,53	1,3	A
723681,33	677708,43	2,6	A
723765,8	735261,97	2,7	A
724173,99	914565,83	2,8	A
724270,22	946663,95	2	A
724413,74	1248845,8	2,2	A
724471,55	1259915,06	1,5	A
725139,74	860328,68	2,6	A
725555,61	999788,44	1,4	A
726136,08	810519,97	2,3	A
726958,68	616831,92	1,9	A
727717,3	982071,69	2	A
727927,06	1041840,2	1,9	A
728023,7	1067297,39	1,9	A
731053,6	983167,52	2,6	A
731224,97	1032973,47	3,4	A
731607,72	1351752,96	1,6	A
731787,48	1171326,36	1,7	A
731878,22	885767,7	2,4	A
732242,55	1265409,28	1,9	A
732592,59	678804,02	2,2	A
732792,23	800545,02	1,2	A
733174,46	951063,84	1,8	A
733848,3	1135898,08	1,7	A
734292,43	953274	2,1	A
735338,29	931135,59	1,2	A
736155,36	1156917,96	1,9	A
736671,86	1266493,53	3	A
738547,53	884643,74	2,4	A
738691,78	937766,4	1,5	A
738752,33	1239918,63	2,7	A
738757,27	959901	2,2	A
738868,64	995316,54	2,8	A
739095,22	1060614,66	1,1	A
739871,73	961004,36	1,8	A
740304,5	1087172,62	1,8	A
741516,95	690966,51	2,2	A
741903,17	892382,17	2,3	A
742345,34	1038467,89	2,2	A
742866,87	829298,48	5,3	B
743432,37	1031823,72	2,6	A
743466,91	1041784,18	1,8	A
743717,55	1109294,64	2,6	A
744051,32	861389,55	2	A
744506,59	1285270,31	2,1	A
745475,56	1257595,19	2,6	A
745759,03	1314041,36	1,2	A
746549,67	1250949,24	2,2	A
746674,74	1005251,77	2,3	A
747585,78	938847,84	2,5	A
748221,17	708664,05	1,7	A
748690,95	936631,42	2,8	A
748819,64	980897,9	1,4	A
749845,75	952121,47	2,1	A
749917,05	976467,89	1,8	A
750898,51	931092,08	2,8	A
751352,28	1074957,54	1,7	A
752009,9	931089,08	3,5	B
752080,3	1250923,08	2,3	A
752153,51	1266417,34	2,2	A
752202,63	997487,52	2,5	A
752276,47	1020727,19	2,1	A
753142,27	938832,47	2,1	A
753344,24	1007443,85	2,3	A
753431,37	1301827,58	3,2	A
754241,56	934402,96	1,8	A
754660,79	1069412,39	3,5	B
755227,51	1431312,98	3,2	A
755393,48	1249800,95	4,3	B
756455,37	931077,19	2,4	A
757540,74	921114,89	2	A
757844,97	1026242,44	2,3	A
758813,02	979761,47	1,8	A
759885,69	966479,15	2,1	A
760058,07	1024022,14	1,5	A
761057	987501,12	2,6	A
761063,51	989714,3	1,8	A
761108,06	1289616,2	1,9	A
761994,97	924423,23	3,3	A
763160,84	1255299,13	2	A
763190,81	1261939,1	2,9	A
763265,36	983068,34	3	A
763562,39	1077127,92	1,5	A
763612,38	1091513,69	2,1	A
764382,53	1280747,28	2,9	A
764427,71	1000770,21	2,9	A
764928,22	1147946,43	1,5	A
765101,68	1423510,26	2,2	A
767056,95	615694,05	1,8	A
767313,45	814863,74	2,5	A
767565,74	929941,87	2,1	A
768532,41	867974,05	2	A
768647,03	1245314,97	2,4	A
769850,83	954279,73	2,9	A
769939,49	1287361,81	2,9	A
770473,49	696464,06	1,5	A
770650,92	814857,57	3,5	B
771613,82	718592,14	2,9	A
772195,07	1297311,36	2,1	A
772229,17	1010706,18	4,7	B
772275,24	1026197,52	1,7	A
772867,88	810427,61	1,7	A
773105,89	923289,04	2,2	A
773755,8	1137954,16	4,5	B
775092,88	810423,64	2,3	A
775265,02	1240860,31	2	A
775655,25	1042785,16	1,8	A
