"r" "obs" "theo" "lo" "hi"
"1" 0 0 0 0 0
"2" 248.877920751962 13234395.4379743 194590.938347595 0 1710933.1039183
"3" 497.755841503924 43882469.0838094 778363.753390378 0 4899205.13912345
"4" 746.633762255886 94730409.4507632 1751318.44512835 0 6276734.20535534
"5" 995.511683007848 149061085.459289 3113455.01356151 0 7195113.02955643
"6" 1244.38960375981 241005306.396795 4864773.45868986 1826936.61563526 10415848.0224584
"7" 1493.26752451177 344790828.515646 7005273.7805134 1826936.61563526 13620724.337061
"8" 1742.14544526373 449969444.891125 9534955.97903213 4071534.0654778 18488727.0817146
"9" 1991.0233660157 597637436.093786 12453820.0542461 6107301.0982167 21932549.7472943
"10" 2239.90128676766 749484710.066332 15761866.0061552 7931227.98184055 25667406.0121822
"11" 2488.77920751962 915959473.733483 19459093.8347595 10586201.5008959 31449270.5627113
"12" 2737.65712827158 1085916973.0422 23545503.5400589 12577431.6401875 35253435.99512
"13" 2986.53504902354 1261446849.37744 28021095.1220536 17855546.3130256 40575566.7456224
"14" 3235.41296977551 1465535157.97357 32885868.5807435 22697036.5718357 44638728.3128784
"15" 3484.29089052747 1687836036.88866 38139823.9161285 26080681.0389879 50814522.0315995
"16" 3733.16881127943 1921179324.87399 43782961.1282088 30087636.6360849 58863812.2365056
"17" 3982.04673203139 2164274272.65573 49815280.2169842 35702108.9387201 66279071.0378427
"18" 4230.92465278335 2447768953.87971 56236781.1824548 39912963.1656965 75266545.3201496
"19" 4479.80257353531 2752856596.08143 63047464.0246206 48467198.0652564 81492844.1943411
"20" 4728.68049428728 3027992711.76563 70247328.7434816 54150233.7613647 89813497.6266678
"21" 4977.55841503924 3331687259.71072 77836375.3390378 62805347.3017383 101431015.099668
"22" 5226.4363357912 3660457504.27514 85814603.8112892 69754466.321134 109361754.561581
"23" 5475.31425654316 3985745013.19798 94182014.1602357 76903745.5936518 115042402.836808
"24" 5724.19217729512 4337501312.99677 102938606.385878 86268902.0752898 124267684.703227
"25" 5973.07009804709 4694377248.59972 112084380.488214 96128487.2522693 133424511.282088
