x,y,mag,prof,ano,catprof,catmag,descripcion
791395.68,689249.5784,4.2,144,2003,intermedio,Ligera Magnitud,Tobas  aglomerados y lavas  ocasionalmente  intercalaciones de capas rojas de arenitas líticas y limolitas.
787841.1741,696776.5522,4.1,3.1,2010,superficial,Ligera Magnitud,Tobas  aglomerados y lavas  ocasionalmente  intercalaciones de capas rojas de arenitas líticas y limolitas.
860227.5581,744934.6229,4,422.7,2007,profundo,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
856224.3409,747260.8723,4.1,8,1993,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
859007.7595,749470.4323,4.2,14.7,1996,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
887067.2096,781298.7273,4.6,102,2004,intermedio,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
896633.7054,783392.5438,4,3.7,2007,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
893857.2022,788481.8815,4.7,3.9,2003,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
918223.3851,806379.9968,4,14.8,2004,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
911775.9395,808927.7842,4,0.1,2006,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
891650.4322,809717.4739,4,20,2002,superficial,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
903223.9608,821651.8497,4.5,0.5,2000,superficial,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
919579.6578,839665.581,4.3,1.4,1997,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
949937.0756,864418.7254,4.2,18.6,2010,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
936269.0546,866637.5794,4.2,4,2006,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
937936.9842,868295.3571,5.2,13.2,2016,superficial,Moderada Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
970056.5468,881551.1209,4.1,9.7,2000,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
985503.6866,900456.8096,4.1,0.1,2004,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
1036689.97,965705.6561,5.2,0.6,1999,superficial,Moderada Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1034912.549,968690.6276,4.8,4,1999,superficial,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1043456.767,975329.581,4,4,2011,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
1029580.737,978419.8009,5.8,1.15,2008,superficial,Moderada Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1053666.125,979537.7458,4.1,17.8,1997,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
1078047.223,1018705.944,4.7,0.5,2006,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
1126166.653,1038789.513,4.9,1.04,1995,superficial,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1120174.895,1039774.922,4,16.1,2012,superficial,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1119506.641,1041432.867,5.3,1,1995,superficial,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1105078.956,1046940.673,5.6,1,1995,superficial,Moderada Magnitud,Conglomerados y brechas  arenitas de grano fino a conglomeráticas y calizas estromatolíticas  e intercalaciones de lodolitas negras.
1122934.273,1047964.142,4.8,1.5,2000,superficial,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1133904.51,1053624.568,4.6,1,1995,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1112713.28,1058786.374,4.2,4,1996,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1131676.126,1059150.792,5.5,1,1995,superficial,Moderada Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1116699.67,1062332.07,4,3,2015,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1116586.221,1063880.311,4.8,0.1,1998,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1123348.881,1064776.662,4.1,0.4,2003,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1121685.368,1064884.368,4,1.3,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1114143.112,1066088.337,4.2,4,1999,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1041627.85,1071647.736,4,152.8,2007,intermedio,Ligera Magnitud,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.
1125552.942,1072412.32,4.4,4.1,2014,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1037635.612,1074078.342,4.1,149.3,2009,intermedio,Ligera Magnitud,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.
1040073.713,1075296.155,4.2,152.4,2005,intermedio,Ligera Magnitud,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas
1035972.045,1075515.067,4.1,151,2016,intermedio,Ligera Magnitud,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas
1136744.509,1076083.578,4,1.3,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1034750.884,1079053.175,4.3,146,2012,intermedio,Ligera Magnitud,Arcillas  turbas  y arcillas arenosas con niveles delgados de gravas. Localmente  capas de depósitos de diatomeas.
1163346.881,1079902.549,4,3.4,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1146712.101,1081413.506,4.2,4,2016,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1148250.056,1087943.069,4.3,14.7,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1096587.042,1092273.388,4.1,14.1,2012,superficial,Ligera Magnitud,Shales con yeso y chert intercalados con calizas y arenitas
1036516.199,1094314.943,4.8,151.1,2014,intermedio,Ligera Magnitud,Arcillas  turbas  y arcillas arenosas con niveles delgados de gravas. Localmente  capas de depósitos de diatomeas.
1158971.628,1101462.975,4.7,16.4,1997,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1044489.977,1102392.635,5.1,1,1995,superficial,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1006704.605,1102930.898,4.3,121.3,2003,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1160293.401,1104895.389,4.3,19.3,2002,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1039057.921,1106480.905,4.2,146.1,2003,intermedio,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1000388.675,1106579.852,4.1,100.4,2016,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1039167.928,1107808.013,4.8,156.4,2000,intermedio,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1022325.761,1110122.389,5.7,137.7,1995,intermedio,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1022657.72,1111338.944,4.2,135.7,1995,intermedio,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1006482.129,1111667.074,4.2,116,1997,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
968148.9878,1112780.42,4,97.11,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1150516.396,1115048.951,4.2,1.2,2009,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1056333.526,1117552.405,4.9,170,2000,intermedio,Ligera Magnitud,Depósitos aluviales y de llanuras aluviales
988759.5198,1133784.809,4.3,110,2000,intermedio,Ligera Magnitud,Shales  calizas  arenitas  cherts y fosforitas
1172254.719,1149176.216,4.4,0.9,2001,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1082760.185,1156399.881,4.1,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1215321.269,1156504.725,4.1,33,1997,superficial,Ligera Magnitud,Abanicos aluviales disectados
1011237.503,1159661.997,4.5,150,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1046994.369,1161559.292,4.1,128.3,1996,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1001827.455,1161762.123,4.2,2.5,2000,superficial,Ligera Magnitud,Arenitas  limolitas y lodolitas con mantos delgados de carbón.
1040794.751,1161775.942,4,124,2001,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1149513.371,1163496.754,5.4,2.9,1999,superficial,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1205877.638,1164659.65,4,1.2,2004,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1090383.185,1167581.168,4.2,4,2003,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1014442.529,1182001.309,4.6,4,1998,superficial,Ligera Magnitud,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados
1017872.986,1182444.611,4,110,1999,intermedio,Ligera Magnitud,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados
1112050.205,1183987.454,4,199.1,2003,profundo,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1129205.369,1184133.65,4,6,1994,superficial,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1019753.553,1184546.39,5.3,0.7,1998,superficial,Moderada Magnitud,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados
1022740.975,1185542.776,4,47.2,2011,superficial,Ligera Magnitud,Shales  calizas  arenitas  cherts y fosforitas
1099421.608,1190711.171,4,186,2005,profundo,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1210874.934,1191786.006,4,11.6,1994,superficial,Ligera Magnitud,Shales y cuarzoarenitas de grano fino a grueso
1057808.82,1196736.951,4.1,122.6,2006,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1049399.253,1197834.968,4.2,111.8,1997,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1089006.721,1198989.047,4.4,2.52,2015,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1028045.702,1199589.888,4.1,1.3,2000,superficial,Ligera Magnitud,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas
1061787.679,1200611.885,4.2,135,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1126278.554,1206359.828,4.8,188,2007,profundo,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1033350.59,1208771.705,4.6,2.56,2000,superficial,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
