COD_MUN	COD_DEPTO	nbi	msnm
54535	54	100	800
94882	94	100	600
94888	94	100	20
94887	94	100	200
94885	94	100	80
97511	97	100	200
91460	91	100	0
91460	91	100	0
97777	97	100	200
94886	94	100	100
91263	91	100	158
91263	91	100	158
19050	19	100	1750
97161	97	100	200
94883	94	100	88
50325	50	100	200
15114	15	57.96767	2500
91669	91	100	200
97666	97	82.06897	100
97889	97	78.5179	100
91407	91	58.80371	82
94884	94	97.79482	96
15550	15	80.77198	1500
15401	15	44.73524	1400
15723	15	46.13546	2600
68370	68	60.812	300
85015	85	46.35193	1100
15832	15	22.67258	1250
85279	85	46.28999	750
19533	19	100	310
68867	68	20.80336	3350
85136	85	51.14638	1525
15090	15	36.12188	1525
68121	68	40.12807	1020
15236	15	34.15765	1850
15522	15	46.93287	2250
25086	25	33.85993	229
94343	94	100	119
68013	68	41.02423	1650
68522	68	46.39279	870
85315	85	37.70279	1300
68322	68	21.67043	1475
68132	68	26.64049	2000
25580	25	41.70198	1000
91405	91	52.88604	184
91405	91	52.88604	184
15660	15	30.72289	1950
25483	25	43.9312	262
68705	68	39.05109	1900
25324	25	47.11452	255
25871	25	42.94778	1700
50686	50	29.74987	1950
68344	68	45.08547	1300
68524	68	29.14742	1190
68245	68	36.16171	1950
15022	15	37.3155	1925
25095	25	32.09044	1400
15511	15	37.0044	2000
5004	5	28.53828	1900
15317	15	62.68509	2195
15518	15	41.6309	793
50245	50	20.1897	1900
68160	68	47.89959	670
15533	15	82.4189	980
15380	15	25.29644	1975
25807	25	34.04993	1950
68176	68	43.94125	1150
15362	15	23.22115	2500
15761	15	36.90071	1680
68264	68	35.34709	1875
15226	15	46.19342	2750
15720	15	60.3994	2600
15106	15	35.01696	1340
68209	68	30.12583	1600
15514	15	38.15136	1500
25368	25	51.13982	300
54125	54	52.79579	2400
27745	27	47.47191	50
54680	54	35.55977	411
44420	44	66.75432	200
15248	15	51.35318	2128
15621	15	41.7103	2075
81591	81	36.10211	140
68425	68	69.27203	2270
15215	15	27.9483	2388
68686	68	61.95988	1890
15500	15	51.64438	2525
15172	15	35.79092	1757
68296	68	42.84725	944
15839	15	46.68192	2800
15808	15	48.0293	2113
17446	17	21.42857	2825
68780	68	44.07543	1740
15092	15	64.02183	2570
68682	68	41.47887	1974
15879	15	38.01775	2500
5501	5	40.62827	400
15696	15	35.80699	2370
91798	91	57.91442	100
68169	68	32.35101	2000
41244	41	33.27311	1500
27372	27	86.2106	5
85300	85	26.63973	450
25328	25	27.60181	1600
63111	63	22.44543	1500
25168	25	44.09369	1023
68298	68	53.6579	2100
50270	50	35.98485	550
54418	54	35.18518	1411
25823	25	63.58052	1300
25339	25	46.74821	2275
15293	15	60.34888	2450
25592	25	39.52815	1300
25299	25	27.26544	2150
68211	68	29.87254	1650
68368	68	43.71681	1890
15403	15	49.63072	2367
15762	15	46.30457	2700
54239	54	34.10516	950
15820	15	29.40089	2900
70230	70	71.03359	280
81220	81	53.90572	102
68549	68	22.61608	1170
25851	25	42.70386	500
25867	25	30.85829	1480
54480	54	37.40557	2600
15218	15	79.64658	2350
95200	95	44.39308	200
50110	50	40.21397	225
68533	68	25.63821	1406
68324	68	36.27016	1970
99624	99	58.43789	125
25489	25	28.99704	1175
25258	25	47.99748	1350
5658	5	21.52188	2550
15131	15	39.04321	2650
15212	15	47.03411	950
25506	25	25.04653	1630
5134	5	100	1725
50124	50	43.99884	175
41026	41	23.58176	1027
68179	68	41.45359	1750
15276	15	46.13999	2500
88564	88	19.69938	5
18479	18	40.27428	258
68266	68	40.87497	1570
15162	15	26.01856	3269
15135	15	44.0507	1300
5475	5	97.08488	25
15798	15	28.23477	1600
15325	15	48.08275	1700
15774	15	55.95137	2484
15425	15	35.23202	1850
95025	95	100	200
68020	68	41.31455	1640
25436	25	37.61174	1900
52385	52	37.11934	2300
5206	5	25.94645	1900
68720	68	56.90774	1150
